index,time
0,2020-07-24 11:00:04.336
1,2020-07-24 11:00:04.754
2,2020-07-24 11:00:04.812
3,2020-07-24 11:00:05.069
4,2020-07-24 11:00:06.434
5,2020-07-24 11:00:15.054
6,2020-07-24 11:00:16.074
7,2020-07-24 11:00:17.181
8,2020-07-24 11:00:19.187
9,2020-07-24 11:00:22.015
10,2020-07-24 11:00:24.035
11,2020-07-24 11:00:26.045
12,2020-07-24 11:00:29.163
13,2020-07-24 11:00:32.187
14,2020-07-24 11:00:37.015
15,2020-07-24 11:00:41.027
16,2020-07-24 11:00:46.030
17,2020-07-24 11:00:47.050
18,2020-07-24 11:00:48.040
19,2020-07-24 11:00:52.103
20,2020-07-24 11:00:53.024
21,2020-07-24 11:00:55.088
22,2020-07-24 11:00:57.105
23,2020-07-24 11:00:58.249
24,2020-07-24 11:01:00.065
25,2020-07-24 11:01:01.005
26,2020-07-24 11:01:04.050
27,2020-07-24 11:01:06.003
28,2020-07-24 11:01:11.118
29,2020-07-24 11:01:13.132
30,2020-07-24 11:01:16.095
31,2020-07-24 11:01:19.209
32,2020-07-24 11:01:20.026
33,2020-07-24 11:01:24.203
34,2020-07-24 11:01:25.122
35,2020-07-24 11:01:33.078
36,2020-07-24 11:01:36.036
37,2020-07-24 11:01:39.003
38,2020-07-24 11:01:43.031
39,2020-07-24 11:01:46.142
40,2020-07-24 11:01:49.449
41,2020-07-24 11:01:51.248
42,2020-07-24 11:01:53.023
43,2020-07-24 11:02:02.143
44,2020-07-24 11:02:05.076
45,2020-07-24 11:02:07.073
46,2020-07-24 11:02:13.135
47,2020-07-24 11:02:15.016
48,2020-07-24 11:02:22.097
49,2020-07-24 11:02:23.229
50,2020-07-24 11:02:30.057
51,2020-07-24 11:02:31.533
52,2020-07-24 11:02:32.002
53,2020-07-24 11:02:34.058
54,2020-07-24 11:02:42.064
55,2020-07-24 11:02:45.059
56,2020-07-24 11:02:46.011
57,2020-07-24 11:02:48.029
58,2020-07-24 11:02:50.121
59,2020-07-24 11:02:51.073
60,2020-07-24 11:02:58.070
61,2020-07-24 11:03:00.239
62,2020-07-24 11:03:02.032
63,2020-07-24 11:03:03.056
64,2020-07-24 11:03:07.015
65,2020-07-24 11:03:09.318
66,2020-07-24 11:03:10.132
67,2020-07-24 11:03:12.382
68,2020-07-24 11:03:13.017
69,2020-07-24 11:03:18.080
70,2020-07-24 11:03:28.026
71,2020-07-24 11:03:37.148
72,2020-07-24 11:03:39.143
73,2020-07-24 11:03:40.171
74,2020-07-24 11:03:41.059
75,2020-07-24 11:03:46.104
76,2020-07-24 11:03:47.074
77,2020-07-24 11:03:49.267
78,2020-07-24 11:03:51.050
79,2020-07-24 11:03:53.319
80,2020-07-24 11:03:57.254
81,2020-07-24 11:04:00.013
82,2020-07-24 11:04:02.112
83,2020-07-24 11:04:03.013
84,2020-07-24 11:04:06.068
85,2020-07-24 11:04:07.268
86,2020-07-24 11:04:09.048
87,2020-07-24 11:04:17.087
88,2020-07-24 11:04:19.086
89,2020-07-24 11:04:20.124
90,2020-07-24 11:04:26.095
91,2020-07-24 11:04:32.072
92,2020-07-24 11:04:34.088
93,2020-07-24 11:04:37.073
94,2020-07-24 11:04:41.196
95,2020-07-24 11:04:49.073
96,2020-07-24 11:04:51.094
97,2020-07-24 11:04:53.080
98,2020-07-24 11:04:58.134
99,2020-07-24 11:05:06.081
100,2020-07-24 11:05:09.079
101,2020-07-24 11:05:13.286
102,2020-07-24 11:05:16.075
103,2020-07-24 11:05:18.013
104,2020-07-24 11:05:20.053
105,2020-07-24 11:05:21.264
106,2020-07-24 11:05:24.015
107,2020-07-24 11:05:25.049
108,2020-07-24 11:05:26.058
109,2020-07-24 11:05:27.254
110,2020-07-24 11:05:28.010
111,2020-07-24 11:05:33.272
112,2020-07-24 11:05:34.076
113,2020-07-24 11:05:38.328
114,2020-07-24 11:05:39.304
115,2020-07-24 11:05:40.155
116,2020-07-24 11:05:41.484
117,2020-07-24 11:05:42.279
118,2020-07-24 11:05:44.250
119,2020-07-24 11:05:45.106
120,2020-07-24 11:05:46.116
121,2020-07-24 11:05:49.052
122,2020-07-24 11:05:56.065
123,2020-07-24 11:05:58.049
124,2020-07-24 11:06:00.452
125,2020-07-24 11:06:08.038
126,2020-07-24 11:06:10.107
127,2020-07-24 11:06:15.220
128,2020-07-24 11:06:18.190
129,2020-07-24 11:06:19.143
130,2020-07-24 11:06:20.403
131,2020-07-24 11:06:21.066
132,2020-07-24 11:06:22.161
133,2020-07-24 11:06:29.049
134,2020-07-24 11:06:32.007
135,2020-07-24 11:06:39.075
136,2020-07-24 11:06:43.110
137,2020-07-24 11:06:47.242
138,2020-07-24 11:06:50.350
139,2020-07-24 11:06:53.393
140,2020-07-24 11:06:55.220
