index,time
0,2020-07-27 00:07:13.872
1,2020-07-27 00:07:26.889
2,2020-07-27 00:07:30.911
3,2020-07-27 00:07:47.756
4,2020-07-27 00:07:57.901
5,2020-07-27 00:08:00.757
6,2020-07-27 00:08:04.331
7,2020-07-27 00:08:13.462
8,2020-07-27 00:08:16.785
9,2020-07-27 00:08:17.798
10,2020-07-27 00:08:21.063
11,2020-07-27 08:00:22.736
12,2020-07-27 08:00:27.331
13,2020-07-27 08:00:29.403
14,2020-07-27 08:00:41.068
15,2020-07-27 08:00:43.023
16,2020-07-27 08:00:43.250
17,2020-07-27 08:00:46.120
18,2020-07-27 08:00:47.156
19,2020-07-27 08:00:47.232
20,2020-07-27 08:00:52.109
21,2020-07-27 08:00:54.332
22,2020-07-27 08:01:08.525
23,2020-07-27 08:01:09.413
24,2020-07-27 08:01:13.476
25,2020-07-27 08:01:15.595
26,2020-07-27 08:01:18.909
27,2020-07-27 08:01:20.211
28,2020-07-27 08:01:22.876
29,2020-07-27 08:01:27.607
30,2020-07-27 08:01:28.505
31,2020-07-27 08:01:32.378
32,2020-07-27 08:01:40.791
33,2020-07-27 08:01:45.017
34,2020-07-27 08:01:47.178
35,2020-07-27 08:01:48.748
36,2020-07-27 08:01:49.359
37,2020-07-27 08:01:51.786
38,2020-07-27 08:01:56.723
39,2020-07-27 08:01:58.763
40,2020-07-27 08:02:04.329
41,2020-07-27 08:02:09.243
42,2020-07-27 08:02:11.915
43,2020-07-27 08:02:26.108
44,2020-07-27 08:02:38.393
45,2020-07-27 08:02:40.508
46,2020-07-27 08:02:43.577
47,2020-07-27 08:02:49.281
48,2020-07-27 08:02:59.798
49,2020-07-27 08:03:00.181
50,2020-07-27 08:03:07.969
51,2020-07-27 08:03:12.513
52,2020-07-27 08:03:17.127
53,2020-07-27 08:03:19.964
54,2020-07-27 08:03:22.083
55,2020-07-27 08:03:22.690
56,2020-07-27 08:03:25.357
57,2020-07-27 08:03:58.076
58,2020-07-27 08:04:01.183
59,2020-07-27 08:04:10.152
60,2020-07-27 08:04:11.064
61,2020-07-27 08:04:21.175
62,2020-07-27 08:04:31.383
63,2020-07-27 08:04:34.323
64,2020-07-27 08:04:35.201
65,2020-07-27 08:04:39.059
66,2020-07-27 08:04:42.229
67,2020-07-27 08:04:44.214
68,2020-07-27 08:04:48.639
69,2020-07-27 08:04:52.453
70,2020-07-27 08:04:59.100
71,2020-07-27 08:05:01.574
72,2020-07-27 08:05:06.957
73,2020-07-27 08:05:17.429
74,2020-07-27 08:05:23.451
75,2020-07-27 08:05:23.595
76,2020-07-27 08:05:25.451
77,2020-07-27 08:05:30.977
78,2020-07-27 08:05:33.736
79,2020-07-27 08:05:34.989
80,2020-07-27 08:05:39.334
81,2020-07-27 08:05:52.291
82,2020-07-27 08:06:02.988
83,2020-07-27 08:06:09.256
84,2020-07-27 08:06:10.843
85,2020-07-27 08:06:12.486
86,2020-07-27 08:06:16.358
87,2020-07-27 08:06:17.059
88,2020-07-27 08:06:20.199
89,2020-07-27 08:06:26.637
90,2020-07-27 08:06:43.411
91,2020-07-27 08:06:52.150
92,2020-07-27 08:07:08.211
93,2020-07-27 08:07:10.087
94,2020-07-27 08:07:14.739
95,2020-07-27 08:07:15.206
96,2020-07-27 08:07:20.037
97,2020-07-27 08:07:23.929
98,2020-07-27 08:07:35.143
99,2020-07-27 08:07:38.149
100,2020-07-27 08:07:38.471
